社名,住所
夏原工業株式会社,滋賀県犬上郡多賀町大字敏満寺５７９番地
ムラテックメカトロニクス株式会社,京都府京都市南区吉祥院南落合町３番地
マルホ発條工業株式会社,京都府京都市下京区中堂寺南町１３４番地京都リサーチパーク１号館
株式会社レイマック,滋賀県守山市幸津川町１５５１番地
株式会社ダイセキ,兵庫県神戸市中央区浜辺通５丁目１番１４号
フジプレアム株式会社,兵庫県姫路市飾西３８番地１
株式会社ミタチ,兵庫県姫路市豊富町御蔭６５５番地の３５
生田産機工業株式会社,京都府京都市伏見区横大路下三栖辻堂町６番地
株式会社ヤスヒラ,兵庫県姫路市西庄甲１０８番地
株式会社エルクラフト,滋賀県東近江市青野町４７０３番地
エヌ・エム・ピイビジネスサポート株式会社,兵庫県三田市テクノパーク９番地１
株式会社Ｈ・Ｒ・Ｃ,兵庫県揖保郡太子町福地字竜野道４１番地の５
株式会社テクノ高布,滋賀県野洲市上屋１４４番地８
ニデックマシナリー株式会社,京都府長岡京市神足寺田１番地
株式会社森田電器工業所,滋賀県彦根市高宮町１３９５番地
株式会社大興技研,京都府京都市伏見区深草西浦町８丁目１１３
株式会社アルファ技研,兵庫県神戸市中央区江戸町９５番地、井門神戸ビル７階
株式会社トーヨーパッケン,兵庫県尼崎市東塚口町２丁目４番５２号
株式会社デース,滋賀県彦根市高宮町１２８０番地の１
株式会社綾部機工製作所,京都府綾部市位田町中ノ丁１番地
株式会社酒井工業所,滋賀県守山市播磨田町１１８番地
株式会社ＴＥＲＩＣ,兵庫県尼崎市西高洲町１６番地４４
株式会社藤原電機製作所,京都府京都市北区大北山原谷乾町１０４番地
株式会社ヒロハタ技研,兵庫県姫路市飾磨区英賀宮町１丁目４５番地の３
西村製作株式会社,兵庫県たつの市誉田町広山１７３番地
共栄制御機器株式会社,兵庫県尼崎市田能６丁目１１番２０号
株式会社サキノ精機,兵庫県明石市大久保町江井島８４４番地
マロー工業株式会社,滋賀県草津市青地町７８２番３号
栄和産業株式会社,兵庫県姫路市広畑区長町１丁目９５番地の２
株式会社エイム,兵庫県姫路市飾磨区構５丁目１５８番地の１
タカシマ電工株式会社,滋賀県高島市安曇川町田中９４６番地
ユーエス電気株式会社,兵庫県姫路市飾磨区中島３３８０番地
有限会社浜部製作所,兵庫県神戸市西区高塚台３丁目１番５０号
アイワ技研工業株式会社,和歌山県和歌山市金谷２２１番地
甲南設計工業株式会社,兵庫県三木市吉川町金会１００４番地の３
株式会社ＰＲＯ－ＳＥＥＤ,滋賀県彦根市原町１９２番地１
株式会社フタバ,兵庫県加古郡播磨町古田１丁目５番２５号
株式会社大谷精機,兵庫県たつの市揖保町東用１０１番地１
京和機工株式会社,和歌山県和歌山市加納２７７番地の４
フクテツ工業株式会社,滋賀県湖南市夏見５５番地の１
河原鉄工株式会社,京都府京都市南区東九条下殿田町８番地
西野電機株式会社,京都府長岡京市神足芝ノ本１０番地の２
中央技研株式会社,滋賀県犬上郡甲良町大字池寺１１６４番地７
株式会社ＡＧコアシステムズ,兵庫県たつの市新宮町船渡２７３番地３
株式会社エヌ・ケイ・シー,滋賀県長浜市大寺町７９１番地
三栄工業有限会社,兵庫県尼崎市戸ノ内町３丁目３６番１２号
エクセレント株式会社,兵庫県神戸市西区高塚台３丁目２番地５２
株式会社三共設計事務所,奈良県大和郡山市馬司町１４６番地
日豊電機株式会社,兵庫県高砂市北浜町牛谷４１４番地
株式会社ＦＴＩ,滋賀県彦根市肥田町１０７２番地２
